vocab_id,ko,pos,meaning_zh,component_breakdown,collocation,example_ko,example_zh,confusable_with,same_meaning_as,source_refs,first_seen_date,last_seen_date,last_review_date,correct_count,wrong_count,uncertain_count,mastery_level,ask_priority,status,notes
V0001,지식,noun,知识,,지식을 쌓다,지식을 쌓는 것이 중요하다,积累知识很重要,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0002,지식을 쌓다,collocation,积累知识,지식(知识) + 쌓다(积累),,책을 읽으며 지식을 쌓다,通过读书积累知识,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉搭配
V0003,쌓다,verb,积累；堆积,,지식을 쌓다,경험을 쌓다,积累经验,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0004,피다,verb,开；开放,,꽃이 피다,꽃이 피기 시작했다,花开始开了,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0005,모양이다,expression,看来；样子,,온 모양이다,봄이 온 모양이다,看来春天来了,-(으)ㄴ 모양이다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,表达项并关联语法 -(으)ㄴ 모양이다
V0006,숨소리,noun,呼吸声,숨(呼吸) + 소리(声音),숨소리가 들리다,숨소리가 들릴 만큼 조용하다,安静到能听见呼吸声,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0007,조용해지다,verb,变安静,조용하다(安静) + -아/어지다(变得),,교실이 조용해졌다,教室变安静了,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0008,분위기,noun,氛围,,분위기를 꾸미다,분위기가 좋다,气氛很好,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0009,꾸미다,verb,装饰；布置,,분위기를 꾸미다,방을 예쁘게 꾸미다,把房间装饰得很漂亮,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0010,신다,verb,穿鞋/袜,,신발을 신다,운동화를 신다,穿运动鞋,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0011,가벼움,noun,轻盈,가볍다(轻) + -음(名词化),,가벼움을 느끼다,感到轻盈,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0012,정성을 담다,collocation,倾注诚意/用心,정성(诚意) + 담다(装入),,정성을 담아 만들다,用心制作,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0013,신선한 재료,collocation,新鲜材料/食材,신선하다(新鲜) + 재료(材料),,신선한 재료를 사용하다,使用新鲜材料,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0014,사용하다,verb,使用,,재료를 사용하다,신선한 재료를 사용하다,使用新鲜材料,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0015,웃는 얼굴,collocation,笑脸,웃다(笑) + 얼굴(脸),,웃는 얼굴로 인사하다,用笑脸问候,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0016,밝은 인사,collocation,明朗的问候,밝다(明亮/开朗) + 인사(问候),,밝은 인사를 하다,进行明朗的问候,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0017,생활 예절,collocation,生活礼仪,생활(生活) + 예절(礼仪),,생활 예절을 지키다,遵守生活礼仪,예절,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,与 예절 互相关联
V0018,승강장,noun,站台,승강(升降/上下车) + 장(场所),,승강장에서 기다리다,在站台等待,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0019,출입문,noun,出入口门/车门,출입(出入) + 문(门),,출입문이 닫히다,车门关闭,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0020,무리하게,adverb,勉强地/硬要,무리하다(勉强) + -게(副词化),무리하게 타다,무리하게 타지 마세요,请不要勉强上车,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0021,타다,verb,乘坐/上车,,버스를 타다,무리하게 타지 마세요,请不要勉强上车,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0022,안전 규칙,collocation,安全规则,안전(安全) + 규칙(规则),,안전 규칙을 지키다,遵守安全规则,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0023,과거 모습,collocation,过去的样子,과거(过去) + 모습(样子),,과거 모습을 보여 주다,展示过去的样子,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉搭配
V0024,기간,noun,期间,,기간 동안,신청 기간을 확인하다,确认申请期间,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0025,대상,noun,对象,,대상으로 심사하다,학생들을 대상으로 심사하다,以学生为对象评审,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,与 대상으로 심사하다 互相关联
V0026,이전,noun/adverb,以前,,기간 이전,이전 사진을 제출하다,提交以前的照片,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0027,찍은 사진,collocation,拍的照片,찍다(拍) + 사진(照片),,직접 찍은 사진,亲自拍的照片,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0028,방문 제출,collocation,到访提交/现场提交,방문(访问) + 제출(提交),,방문 제출이 가능하다,可以现场提交,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0029,문화 상품권,noun,文化商品券,문화(文化) + 상품(商品) + 권(券),,문화 상품권을 받다,获得文化商品券,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0030,진행되다,verb,进行,진행(进行) + 되다(成为/被动),,행사가 진행되다,活动进行,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0031,용돈,noun,零花钱/生活费,,용돈을 쓰다,용돈을 지출하다,花零花钱,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0032,식비,noun,伙食费,식(食/饮食) + 비(费用),,식비가 늘다,伙食费增加,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0033,학원비,noun,补习班费用,학원(补习班) + 비(费用),,학원비를 내다,交补习班费用,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0034,교통비,noun,交通费,교통(交通) + 비(费用),,교통비를 지출하다,支出交通费,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0035,문화생활비,noun,文化生活费,문화생활(文化生活) + 비(费用),,문화생활비가 많다,文化生活费很多,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0036,물건 구입비,collocation,购买物品的费用,물건(物品) + 구입(购买) + 비(费用),,물건 구입비를 줄이다,减少购买物品的费用,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0037,기타,noun,其他,,기타 항목,기타 비용도 있다,还有其他费用,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0038,절반 이상,collocation,一半以上,절반(一半) + 이상(以上),,절반 이상을 차지하다,占一半以上,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉搭配
V0039,지출하다,verb,支出/花费,지출(支出) + 하다,,교통비를 지출하다,支出交通费,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0040,최초로,adverb,首次,최초(最初/首次) + 로(方式副词化),,최초로 발표하다,首次发表,,처음으로,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇；与 처음으로 同义
V0041,처음으로,adverb,第一次/首次,처음(第一次) + 으로(方式副词化),,처음으로 주목받다,首次受到关注,,최초로,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,与 최초로 同义
V0042,주목받다,verb,受到关注,주목(注目/关注) + 받다(受到),,많은 주목을 받다,受到很多关注,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0043,발표한 작품,collocation,发表的作品,발표하다(发表) + 작품(作品),,발표한 작품이 주목받다,发表的作品受到关注,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读搭配
V0044,대상으로 심사하다,collocation,作为对象审查/评审,대상(对象) + 심사하다(评审),,작품을 대상으로 심사하다,以作品为对象进行评审,대상;심사하다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,与 대상 和 심사하다 互相关联
V0045,꿈꾸다,verb,梦想,,미래를 꿈꾸다,미래를 꿈꾸다,梦想未来,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉词汇
V0046,상상하다,verb,想象,상상(想象) + 하다,,미래를 상상하다,想象未来,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0047,표현하다,verb,表现/表达,표현(表达) + 하다,,생각을 표현하다,表达想法,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础题精读词汇
V0048,평을 받다,collocation,得到评价,평(评价) + 받다(接受/得到),,좋은 평을 받다,得到好评,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户重点回炉搭配
V0049,세상,noun,世界/世上,,세상에 나오다,넓은 세상을 경험하다,体验广阔的世界,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户主动标记仍需记忆
V0050,경험하다,verb,体验/经历,경험(经验) + 하다,,세상을 경험하다,体验世界,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,경험해 归入 경험하다
V0051,밝다,adjective,明亮；开朗,,밝은 인사,밝은 얼굴로 인사하다,用明朗的表情问候,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,밝은 归入 밝다
V0052,예절,noun,礼仪,,생활 예절,예절을 지키다,遵守礼仪,생활 예절,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户主动标记仍需记忆
V0053,뛰다,verb,跑；跳,,뛰어가다,아이가 뛰어간다,孩子跑过去,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,뛰 归入 뛰다
V0054,닫히다,verb,被关上,닫다(关) + -히-(被动),출입문이 닫히다,문이 닫힐 때 조심하세요,门关闭时请小心,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户主动标记仍需记忆
V0055,심사,noun,审查/评审,,심사를 받다,작품 심사가 진행되다,作品评审进行,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户主动标记仍需记忆
V0056,심사하다,verb,审查/评审,심사(审查/评审) + 하다,대상으로 심사하다,작품을 심사하다,评审作品,심사;대상으로 심사하다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,用户主动标记仍需记忆
